segment,watch_races,buy_races,total_points,avg_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct,over5000_hit_rate_pct,max_losing_streak,max_drawdown_yen
浜名湖,21,21,252,12.0,25200,26020,820,103.25,28.57,0.0,9.52,4,9560
平和島,20,20,240,12.0,24000,29300,5300,122.08,15.0,5.0,10.0,8,14800
宮島,16,16,192,12.0,19200,5130,-14070,26.72,12.5,0.0,0.0,11,15040
戸田,16,16,192,12.0,19200,52780,33580,274.9,12.5,6.25,6.25,9,10800
若松,15,15,180,12.0,18000,1570,-16430,8.72,6.67,0.0,0.0,9,16430
丸亀,14,14,168,12.0,16800,2140,-14660,12.74,7.14,0.0,0.0,9,14660
大村,13,13,156,12.0,15600,7030,-8570,45.06,7.69,0.0,7.69,7,8570
尼崎,12,12,144,12.0,14400,13560,-840,94.17,33.33,0.0,8.33,3,5420
びわこ,10,10,120,12.0,12000,0,-12000,0.0,0.0,0.0,0.0,10,12000
下関,10,10,120,12.0,12000,16830,4830,140.25,40.0,0.0,20.0,3,3600
蒲郡,9,9,108,12.0,10800,0,-10800,0.0,0.0,0.0,0.0,9,10800
徳山,8,8,96,12.0,9600,1000,-8600,10.42,12.5,0.0,0.0,4,8600
芦屋,8,8,96,12.0,9600,4330,-5270,45.1,25.0,0.0,0.0,3,5350
鳴門,8,8,96,12.0,9600,16010,6410,166.77,25.0,12.5,12.5,3,3600
唐津,8,8,96,12.0,9600,8010,-1590,83.44,25.0,0.0,12.5,5,6240
児島,7,7,84,12.0,8400,860,-7540,10.24,14.29,0.0,0.0,6,7540
常滑,7,7,84,12.0,8400,21720,13320,258.57,28.57,14.29,14.29,2,2400
三国,6,6,72,12.0,7200,0,-7200,0.0,0.0,0.0,0.0,6,7200
多摩川,6,6,72,12.0,7200,33450,26250,464.58,33.33,33.33,33.33,2,2400
住之江,5,5,60,12.0,6000,1980,-4020,33.0,20.0,0.0,0.0,4,4800
津,4,4,48,12.0,4800,0,-4800,0.0,0.0,0.0,0.0,4,4800
福岡,4,4,48,12.0,4800,0,-4800,0.0,0.0,0.0,0.0,4,4800
