venue,buy_races,manshu_rate_pct,roi_pct,profit_yen
びわこ,90,18.89,82.1,-23040
三国,97,30.93,70.14,-41660
下関,63,26.98,89.03,-9910
丸亀,64,21.88,92.4,-7070
住之江,55,14.55,46.09,-43020
児島,54,24.07,47.29,-41430
唐津,65,16.92,56.92,-40060
多摩川,113,23.01,58.03,-68250
大村,60,26.67,33.56,-56610
宮島,73,23.29,59.41,-42130
尼崎,57,22.81,84.81,-12350
常滑,92,28.26,146.6,62210
平和島,118,21.19,78.66,-36370
徳山,60,21.67,102.74,2370
戸田,127,18.11,64.17,-64610
桐生,53,28.3,96.82,-2420
江戸川,106,26.42,119.84,30000
津,46,21.74,76.81,-15030
浜名湖,105,23.81,100.34,510
福岡,56,28.57,97.07,-2370
芦屋,32,31.25,92.47,-3480
若松,61,19.67,189.67,79090
蒲郡,61,18.03,48.18,-44770
鳴門,93,19.35,70.91,-39180
