filter,period,races,manshu_rate,hits,hit_rate,manshu_hits,stake,payback,roi,roi_ex_top1,roi_ex_top3,max_hit
outerdouble_rank1_3,overall,111.0,27.93,39.0,35.14,6.0,158100.0,228670.0,144.64,119.07,89.36,40420.0
outerdouble_rank1_3,2024,43.0,20.93,15.0,34.88,0.0,60900.0,34820.0,57.18,49.39,37.6,4740.0
outerdouble_rank1_3,2025,52.0,30.77,21.0,40.38,5.0,73800.0,172150.0,233.27,178.5,114.85,40420.0
outerdouble_rank1_3,2026,16.0,37.5,3.0,18.75,1.0,23400.0,21700.0,92.74,34.53,0.0,13620.0
outerdouble_all,overall,155.0,27.1,49.0,31.61,6.0,221100.0,251000.0,113.52,95.24,74.0,40420.0
outerdouble_all,2024,56.0,23.21,18.0,32.14,0.0,79200.0,44970.0,56.78,50.51,39.51,4970.0
outerdouble_all,2025,75.0,28.0,25.0,33.33,5.0,107100.0,181400.0,169.37,131.63,87.78,40420.0
outerdouble_all,2026,24.0,33.33,6.0,25.0,1.0,34800.0,24630.0,70.78,31.64,8.42,13620.0
superslit_round1_6,overall,227.0,24.67,73.0,32.16,4.0,327300.0,386460.0,118.08,93.05,75.16,81920.0
superslit_round1_6,2024,50.0,22.0,13.0,26.0,1.0,73200.0,56990.0,77.86,54.28,32.76,17260.0
superslit_round1_6,2025,119.0,28.57,40.0,33.61,2.0,171000.0,224590.0,131.34,83.43,69.11,81920.0
superslit_round1_6,2026,58.0,18.97,20.0,34.48,1.0,83100.0,104880.0,126.21,76.52,56.64,41290.0
superslit_all,overall,314.0,23.25,92.0,29.3,5.0,452400.0,455370.0,100.66,82.55,69.61,81920.0
superslit_all,2024,80.0,20.0,21.0,26.25,1.0,116100.0,79370.0,68.36,53.5,39.93,17260.0
superslit_all,2025,161.0,26.71,49.0,30.43,3.0,232500.0,268670.0,115.56,80.32,67.84,81920.0
superslit_all,2026,73.0,19.18,22.0,30.14,1.0,103800.0,107330.0,103.4,63.62,47.71,41290.0
rank6_late_rank1_3,overall,83.0,27.71,22.0,26.51,3.0,119400.0,163230.0,136.71,85.08,48.59,61640.0
rank6_late_rank1_3,2022,17.0,35.29,5.0,29.41,1.0,24900.0,40470.0,162.53,40.24,5.3,30450.0
rank6_late_rank1_3,2023,18.0,16.67,4.0,22.22,0.0,26400.0,9930.0,37.61,18.86,4.09,4950.0
rank6_late_rank1_3,2024,21.0,33.33,5.0,23.81,0.0,30300.0,11150.0,36.8,21.19,5.31,4730.0
rank6_late_rank1_3,2025,17.0,29.41,7.0,41.18,2.0,23700.0,96570.0,407.47,147.38,54.89,61640.0
rank6_late_rank1_3,2026,10.0,20.0,1.0,10.0,0.0,14100.0,5110.0,36.24,0.0,0.0,5110.0
