date,place_name,round,rank,trifecta,payout,heads,axes,keshi,tickets
2026-04-27,江戸川,6,1,463,41290,"3,4","3,2",5,312 321 324 326 342 362 413 421 423 426 431 432 436 462 463
2025-10-09,浜名湖,6,3,421,40420,"6,4","6,1",5,413 416 421 426 431 436 461 462 463 612 613 614 621 631 641
2025-07-30,常滑,4,3,541,25950,"3,5","3,1",6,314 315 321 341 351 512 513 514 521 523 531 532 534 541 543
2025-12-14,常滑,7,1,365,21020,"3,5","3,5",1,325 345 352 354 356 365 523 532 534 536 543 563
2024-12-27,江戸川,3,2,346,17260,"4,3","4,3",2,314 341 345 346 354 364 413 431 435 436 453 463
2025-02-28,徳山,8,3,623,17060,"6,4","6,3",1,426 432 435 436 453 456 462 463 465 623 632 634 635 643 653
2025-02-05,江戸川,4,1,321,15900,"4,3","4,1",6,314 315 321 324 341 342 345 351 354 412 413 415 421 431 451
2026-04-25,丸亀,2,3,526,13620,"3,5","3,2",4,321 325 326 352 362 512 513 521 523 526 531 532 536 562 563
2025-07-26,福岡,5,3,543,11770,"3,5","3,2",6,321 324 325 342 352 512 513 521 523 524 531 532 534 542 543
2025-08-19,江戸川,3,3,463,8600,"3,4","3,1",5,312 314 316 321 341 361 413 416 421 423 431 432 436 461 463
2025-01-04,びわこ,3,2,435,8590,"3,4","3,1",2,314 315 316 341 351 361 413 415 416 435 436 451 453 461 463
2026-04-12,浜名湖,6,1,465,8200,"3,4","3,6",2,316 346 356 361 364 365 416 431 435 436 453 456 461 463 465
