mode,feature,coefficient,abs_coefficient
morning,lane,-0.747681,0.747681
morning,stability_score,0.677609,0.677609
morning,strength_score,0.428774,0.428774
morning,national_win_rank,-0.373564,0.373564
morning,outside_attack_score,-0.303656,0.303656
morning,weakness_score,0.281755,0.281755
morning,lane1_not_a1,0.236148,0.236148
morning,lane1_b_class,0.143828,0.143828
morning,motor_quinella_rate,-0.130416,0.130416
morning,lane1_vs_avg_win_diff,-0.127839,0.127839
morning,outer_a_count,-0.097371,0.097371
morning,national_win_rate,0.074132,0.074132
morning,outer_exhibition_top_flag,0.071814,0.071814
morning,national_win_range,0.04205,0.04205
morning,local_win_rate,-0.041697,0.041697
morning,boat_quinella_rate,-0.04106,0.04106
morning,early_race,0.030262,0.030262
morning,wave_cm,0.020186,0.020186
morning,wind_speed_m,0.009767,0.009767
morning,data_quality_score,0.007506,0.007506
morning,outer_motor_strong_flag,2e-06,2e-06
morning,start_score,0.0,0.0
morning,avg_st,0.0,0.0
morning,avg_st_rank,0.0,0.0
preview,stability_score,1.889254,1.889254
preview,lane,-0.524217,0.524217
preview,exhibition_rank,0.475701,0.475701
preview,strength_score,-0.423374,0.423374
preview,national_win_rank,-0.392644,0.392644
preview,motor_quinella_rate,-0.359022,0.359022
preview,outside_attack_score,-0.313821,0.313821
preview,weakness_score,0.296942,0.296942
preview,exhibition_score,-0.250038,0.250038
preview,lane1_not_a1,0.227219,0.227219
preview,national_win_rate,0.174226,0.174226
preview,lane1_vs_avg_win_diff,-0.137974,0.137974
preview,lane1_b_class,0.13677,0.13677
preview,outer_a_count,-0.089928,0.089928
preview,outer_exhibition_top_flag,0.072392,0.072392
preview,national_win_range,0.04568,0.04568
preview,exhibition_time,-0.032696,0.032696
preview,early_race,0.029727,0.029727
preview,exhibition_time_range,0.024553,0.024553
preview,wave_cm,0.022865,0.022865
preview,wind_speed_m,0.014045,0.014045
preview,data_quality_score,0.009036,0.009036
preview,boat_quinella_rate,0.006337,0.006337
preview,outer_motor_strong_flag,-0.001799,0.001799
preview,local_win_rate,-0.000224,0.000224
preview,start_score,0.0,0.0
preview,avg_st,0.0,0.0
preview,avg_st_rank,0.0,0.0
